KELAS,HARI,MATA KULIAH,WAKTU,RUANG,DOSEN
3KA07,Kamis,Graf & Analisis Algoritma,1/2/3,E226,RICKY AGUS TJIPTANATA
3KA07,Kamis,Metode Penelitian,6/7,E315,TEDDY OSWARI
3KA07,Kamis,Interaksi Manusia & Komputer*/**,8/9/10,E315,MARLIZA GANEFI GUMAY
3KA08,Selasa,Bahasa Indonesia 2,1/2,E232,RAFIQA MAULIDIA
3KA08,Selasa,Pemrograman Berbasis Web **,3/4,E232,HANUM PUTRI PERMATASARI
3KA08,Selasa,Konsep Data Mining,6/7,E237,IHSAN JATNIKA
3KA08,Selasa,Sistem Keamanan Tek. Informasi *,8/9/10,E237,DHIAN SWEETANIA
3KA08,Kamis,Interaksi Manusia & Komputer*/**,1/2/3,E215,TAUFIK HIDAYAT
3KA08,Kamis,Statistika **,5/6/7,E344,SANDY SURYADY
3KA08,Kamis,Graf & Analisis Algoritma,8/9/10,E344,RICKY AGUS TJIPTANATA
3KA08,Sabtu,Metode Penelitian,3/4,E328,MUHAMMAD FIRDAUS
3KA08,Sabtu,Jejaring Sosial&Konten Kreatif,6/7,E247,MUHAMMAD FADLY
3KA09,Senin,Konsep Data Mining,1/2,E248,IHSAN JATNIKA
3KA09,Senin,Bahasa Indonesia 2,4/5,E432,NURMANINGSIH
3KA09,Senin,Metode Penelitian,7/8,E312,MUFID SURYANI
3KA09,Senin,Pemrograman Berbasis Web **,9/10,E312,BERTALYA
3KA09,Selasa,Graf & Analisis Algoritma,1/2/3,E211,AVINANTA TARIGAN
3KA09,Selasa,Interaksi Manusia & Komputer*/**,4/5/6,E211,FENNI AGUSTINA
3KA09,Selasa,Statistika **,8/9/10,E234,BINTARTI YUSRIANA
3KA09,Kamis,Jejaring Sosial&Konten Kreatif,3/4,E323,JULIA FAJARYANTI
3KA09,Kamis,Sistem Keamanan Tek. Informasi *,6/7/8,E341,SWELANDIAH ENDAH PRATIWI
3KA10,Selasa,Konsep Data Mining,4/5,D667,SIWI PRIHATININGSIH
3KA10,Selasa,Pemrograman Berbasis Web **,7/8,D654,HANUM PUTRI PERMATASARI
3KA10,Selasa,Metode Penelitian,9/10,D654,AINI SURI TALITA
3KA10,Rabu,Statistika **,1/2/3,E216,KOMSI KORANTI
3KA10,Rabu,Interaksi Manusia & Komputer*/**,4/5/6,E216,FEBRIANI
3KA10,Rabu,Sistem Keamanan Tek. Informasi *,8/9/10,E247,FITRIANINGSIH
3KA10,Kamis,Bahasa Indonesia 2,1/2,E526,ARI WIJAYA BASUKI RAHARJO
3KA10,Kamis,Graf & Analisis Algoritma,4/5/6,E226,RICKY AGUS TJIPTANATA
3KA10,Kamis,Jejaring Sosial&Konten Kreatif,7/8,E226,ERNIANTI HASIBUAN
3KA11,Senin,Bahasa Indonesia 2,1/2,E521,ANDINI KURNIA FITRIANA
3KA11,Senin,Metode Penelitian,4/5,E212,MUFID SURYANI
3KA11,Senin,Statistika **,6/7/8,E212,SRI WULAN W RATIH
3KA11,Selasa,Pemrograman Berbasis Web **,1/2,E334,DEWI ANGGRAINI PUSPA HAPSARI
3KA11,Selasa,Sistem Keamanan Tek. Informasi *,4/5/6,E517,RODIAH
3KA11,Selasa,Konsep Data Mining,8/9,E334,IHSAN JATNIKA
3KA11,Kamis,Jejaring Sosial&Konten Kreatif,1/2,E443,JULIA FAJARYANTI
3KA11,Kamis,Interaksi Manusia & Komputer*/**,4/5/6,E215,TAUFIK HIDAYAT
3KA11,Kamis,Graf & Analisis Algoritma,8/9/10,E215,IVAN MAURITS
3KA12,Selasa,Sistem Keamanan Tek. Informasi *,1/2/3,E332,MAULANA MUJAHIDIN
3KA12,Selasa,Pemrograman Berbasis Web **,4/5,E332,RHEZA ANDIKA
3KA12,Selasa,Bahasa Indonesia 2,7/8,E246,ABDUR ROCHMAN
3KA12,Rabu,Statistika **,1/2/3,E226,PARANITA ASNUR
3KA12,Rabu,Konsep Data Mining,4/5,E226,TUBAGUS MAULANA KUSUMA
3KA12,Rabu,Interaksi Manusia & Komputer*/**,7/8/9,E212,FENNI AGUSTINA
3KA12,Kamis,Metode Penelitian,3/4,E233,TEDDY OSWARI
3KA12,Kamis,Graf & Analisis Algoritma,6/7/8,E521,AVINANTA TARIGAN
3KA12,Kamis,Jejaring Sosial&Konten Kreatif,9/10,E521,ERNIANTI HASIBUAN
3KA13,Senin,Statistika **,1/2/3,E317,SRI WULAN W RATIH
3KA13,Senin,Konsep Data Mining,5/6,E241,IHSAN JATNIKA
3KA13,Senin,Bahasa Indonesia 2,7/8,E241,ANDINI KURNIA FITRIANA
3KA13,Senin,Jejaring Sosial&Konten Kreatif,9/10,E241,VIVIEN NOVA FITHRIANA
3KA13,Selasa,Interaksi Manusia & Komputer*/**,1/2/3,E214,FENNI AGUSTINA
3KA13,Selasa,Graf & Analisis Algoritma,4/5/6,E214,NURWENDO HARICAHYADI
3KA13,Selasa,Sistem Keamanan Tek. Informasi *,8/9/10,E233,SWELANDIAH ENDAH PRATIWI
3KA13,Sabtu,Metode Penelitian,5/6,E241,IKHWAN H S
3KA13,Sabtu,Pemrograman Berbasis Web **,9/10,E241,OVAN SUNARTO PULU
3KA14,Senin,Metode Penelitian,1/2,E338,ANA DWI PERTIWI
3KA14,Senin,Bahasa Indonesia 2,3/4,E338,MELANIAWATI
3KA14,Senin,Pemrograman Berbasis Web **,6/7,E435,DEWI ANGGRAINI PUSPA HAPSARI
3KA14,Senin,Statistika **,8/9/10,E435,SRI RAKHMAWATI
3KA14,Selasa,Konsep Data Mining,1/2,E321,TUBAGUS MAULANA KUSUMA
3KA14,Selasa,Sistem Keamanan Tek. Informasi *,5/6/7,E235,DHIAN SWEETANIA
3KA14,Selasa,Graf & Analisis Algoritma,8/9/10,E235,NURWENDO HARICAHYADI
3KA14,Rabu,Interaksi Manusia & Komputer*/**,1/2/3,E123,DARMASTUTI
3KA14,Rabu,Jejaring Sosial&Konten Kreatif,4/5,E123,I MADE WIRYANA
3KA15,Senin,Jejaring Sosial&Konten Kreatif,1/2,G313,DIANA IKASARI
3KA15,Senin,Metode Penelitian,3/4,G313,HANTORO ARIEF GISIJANTO
3KA15,Senin,Konsep Data Mining,7/8,G444,IHSAN JATNIKA
3KA15,Selasa,Sistem Keamanan Tek. Informasi *,1/2/3,E413,RODIAH
3KA15,Selasa,Statistika **,5/6/7,E448,BINTARTI YUSRIANA
3KA15,Selasa,Bahasa Indonesia 2,9/10,E122,ANDINI KURNIA FITRIANA
3KA15,Kamis,Interaksi Manusia & Komputer*/**,1/2/3,E313,MARLIZA GANEFI GUMAY
3KA15,Kamis,Pemrograman Berbasis Web **,5/6,E318,REVIDA IRIANA NAPITUPULU
